Défi,Livrable,Tâche,Fait le,Cat,OK
BrigadeNumérique,,Atelier OpenLab FranceConnect #10,<2018-03-27 mar.>,C,
BrigadeNumérique,,Participation à la session LLL,<2018-03-27 mar.>,A,
BrigadeNumérique,,"Définir process de transmission des données horaire de brigade (DGGN, Dila, DataGouv, Platefor...",<2018-03-27 mar.>,M,
BrigadeNumérique,,Participation au Comité de pilotage de la BNum (Brigade Numérique),<2018-03-27 mar.>,M,
BrigadeNumérique,,Rencontre de l’équipe UX EasiWare,<2018-03-27 mar.>,M,
BrigadeNumérique,,Réunion hebdo MNGN,<2018-03-27 mar.>,M,
EIG Node,,Réunion gouvernance des données avec la team Coach Eleves et PA C.,<2018-03-27 mar.>,M,
EIG Node,,Rencontre team Lab Santé et Marino P. sur leurs projets de datascience,<2018-03-27 mar.>,M,
EIG Node,,Préparation session 22/03,<2018-03-27 mar.>,M,
EIG Node,,Rédaction notes pour la promotion EIG3 avec Sophie,<2018-03-27 mar.>,M,
EIG Node,,"Ordinateur Bastien, épisode 5, avec Paul",<2018-03-27 mar.>,I,
EIG Node,,Réflexion sur la nouvelle version du site avec Sophie,<2018-03-27 mar.>,C,
EIG Node,,Préparation de la publication d’un Plan d’action gouvernement ouvert,<2018-03-27 mar.>,T,
b@liseNAV,,Rapprochements entre données Aladin et base Shom,<2018-03-30 ven.>,DP,
b@liseNAV,,Dictionnaire des méta-données S-57 JavaScript / CSV,<2018-03-30 ven.>,P,
b@liseNAV,,Données Aladin en GeoJson-S57 & CSV-S57,<2018-03-30 ven.>,P,
b@liseNAV,,Présentation des données Aladin chargées sur une carte web,<2018-03-30 ven.>,P,
b@liseNAV,,Intégration des géométries de la précision de la localisation dans le m...,<2018-03-30 ven.>,P,
b@liseNAV,,Revues de codes,<2018-03-30 ven.>,P,
b@liseNAV,,"Comparaison données Aladin avec Shom Iroise, production de rapports en KML",<2018-03-30 ven.>,P,
b@liseNAV,,Présentation avancement BaliseNav à Yves Lefranc et Denis Creach,<2018-03-30 ven.>,U,
b@liseNAV,,"S-57 Level 2 - 3 (Relations, Attributs)",<2018-03-30 ven.>,A,
DataESR,,Changement de techno Flask vers Ruby pour le backend de l'application,<2018-03-30 ven.>,I,
DataESR,,Création d'une partie des modèles de la base de données (backend),<2018-03-30 ven.>,P,
DataESR,,CRUD sur les établissement (back et front),<2018-03-30 ven.>,P,
DataESR,,Point d'avancement avec les mentors,<2018-03-30 ven.>,M,
DataESR,,Premières maquettes des différentes pages de l'application et détail des...,<2018-03-30 ven.>,P,
DataESR,,Accès aux données ISTEX : batailler avec l'administration pour une histo...,<2018-03-30 ven.>,D,
DataESR,,Création d'un container pour le source code de MElt (pos tagging) et tes...,<2018-03-30 ven.>,P,
EIG Link,,Écriture de ouverture.org et ouverture-faq.org,<2018-03-30 ven.>,P,
EIG Link,,Point avec Sophie sur le site,<2018-03-30 ven.>,M,
EIG Link,,Réunion avec l’agence de com’ sur la stratégie EIG,<2018-03-30 ven.>,M,
EIG Link,,Réunion AGD à Étalab avec le MEN,<2018-03-30 ven.>,M,
EIG Link,,Rencontre Sugarizer avec CoachÉlève,<2018-03-30 ven.>,M,
EIG Link,,Point d’étape CoachÉlève + mentor,<2018-03-30 ven.>,M,
EIG Link,,Déboguage serveur (Antoine et Julien),<2018-03-30 ven.>,P,
EIG Link,,Proposition pour « EIG off »,<2018-03-30 ven.>,P,
EIG Link,,Échange avec Jean-Baptiste sur le journal de bord,<2018-03-30 ven.>,M,
EIG Link,,Garagethon « Storify en commun » le 30 mars,<2018-03-30 ven.>,MP,
Gobelins,,Propositions de nettoyage des thesaurus de la base SCOM,<2018-03-30 ven.>,D,
Gobelins,,"Poursuite de l’étude du schéma de SCOM, la BDD legacy",<2018-03-30 ven.>,D,
Gobelins,,Début du modèle de donnée d’une API pour SCOM,<2018-03-30 ven.>,D,
Gobelins,,Réunion avec le responsable SCOM pour automatisation des exports,<2018-03-30 ven.>,D,
Gobelins,,Autoformation sur le framework Laravel.,<2018-03-30 ven.>,A,
Gobelins,,Analyse des courriers d’utilisateurs,<2018-03-30 ven.>,U,
Gobelins,,Finalisation des personnas,<2018-03-30 ven.>,U,
Gobelins,,Planification réunion avec direction,<2018-03-30 ven.>,M,
Gobelins,,Benchmark des plateformes similaires,<2018-03-30 ven.>,U,
Gobelins,,Récolte contenus sur les ateliers / métiers,<2018-03-30 ven.>,D,
Gobelins,,Retours utilisateurs avec les inspecteurs,<2018-03-30 ven.>,M,
Gobelins,,Création d’une team motivée pour la rédac de contenus scientifiques,<2018-03-30 ven.>,M,
Gobelins,,Première étape avec l’équipe responsable des textiles,<2018-03-30 ven.>,M,
Hopkins,Explo graphe,Démo de l’app à nos premiers utilisateurs et déploiement sur leurs ...,<2018-03-30 ven.>,U,
Hopkins,Explo graphe,Création d’un backlog de fonctionnalités,<2018-03-30 ven.>,M,
Hopkins,Explo graphe,Refactor du code en utilisant Vue.js,<2018-03-30 ven.>,P,
Hopkins,Explo graphe,Ajout de fonctionnalités (Expansion de noeud),<2018-03-30 ven.>,P,
Hopkins,Matching,Installation/configuration serveur Elasticsearch,<2018-03-30 ven.>,I,
Hopkins,Matching,Insertion données depuis dataiku dans serveur ES,<2018-03-30 ven.>,I,
Hopkins,Matching,Test clustering de louvain sur petit dataset=> meilleur Matching,<2018-03-30 ven.>,P,
Hopkins,Matching,Rencontre data esr merge machine. Étude macro du code,<2018-03-30 ven.>,A,
Hopkins,Text,Accélération de code (stratification d'un dataset multi label),<2018-03-30 ven.>,P,
Hopkins,Text,Feedback utilisateur test -> Amélioration de la web app de validation,<2018-03-30 ven.>,P,
Hopkins,Text,Déploiement auprès de tous (5...) les utilisateurs finaux,<2018-03-30 ven.>,U,
Lab Santé,,"Réunion DSI pour obtenir des VM pour déploiement distancier OSRM, apps Shiny, etc",<2018-03-30 ven.>,TM,
Lab Santé,,VM dispo,<2018-03-30 ven.>,I,
Lab Santé,,Imputation : Avancée sujet enquête OC et restitution partielle,<2018-03-30 ven.>,PM,
Lab Santé,,GUEPARD : Préparation contenu équivalents SAS avec R pour le data management,<2018-03-30 ven.>,P,
Lab Santé,,"Ateliers projets R : Premier atelier d'accompagnement de projets sur 3 projets, 4 personnes",<2018-03-30 ven.>,T,
Lab Santé,,auto-formation à SAS pour mieux comprendre les outils des statisticiens DREES et leurs besoins,<2018-03-30 ven.>,A,
Lab Santé,,Rencontre Doctolib pour une future collaboration avec la DREES,<2018-03-30 ven.>,M,
Lab Santé,,GU SNDS,<2018-03-30 ven.>,M,
Lab Santé,,Benchmark python vs SAS sur une base importante (6 Go),<2018-03-30 ven.>,PCT,
Lab Santé,,Pubmed : réunion de définition des specs après les premiers résultats,<2018-03-30 ven.>,U,
Lab Santé,,Lancement du slack BigDataSantéSocial pour la DREES,<2018-03-30 ven.>,T,
Lab Santé,,Création d’un tuto simple pour les non-initiés à Slack,<2018-03-30 ven.>,T,
Lab Santé,,Visite DSI avec l'incubateur de start-up d'état du ministère des affaires sociales,<2018-03-30 ven.>,M,
Lab Santé,,Sommet sur l’IA,<2018-03-30 ven.>,C,
Lab Santé,,Réunion projet : dictionnaire codes / post-traitements enquêtes - mieux comprendre les utilisateurs,<2018-03-30 ven.>,D,
Prédisauvetage,,Elsa à Marseille/Toulon pour assister à une conférence sur l’accidentologie en plongée,<2018-03-30 ven.>,M,
Prédisauvetage,,Création application web destinée au public,<2018-03-30 ven.>,P,
Prédisauvetage,,Création application web de visualisation (graphiques et cartographie),<2018-03-30 ven.>,P,
Prédisauvetage,,Préparation du comité de pilotage d’avril pour le SNOSAN,<2018-03-30 ven.>,P,
Prédisauvetage,,Réflexions lobbying volonté d’ouvrir les données d’interventions des secours en mer,<2018-03-30 ven.>,T,
Prédisauvetage,,Blog post parlant de l’API d’avis urgent aux navigateurs sur le blog de la fabrique numérique du ministère,<2018-03-30 ven.>,C,
Prévisecours,,Appel au dép. cartographie du SDIS91 pour récupérer les geojson de zones de couverture de caserne,<2018-03-30 ven.>,D,
Prévisecours,,1er contact pour des données délinquances potentiellement correlées aux interventions des sapeurs pompiers,<2018-03-30 ven.>,D,
Prévisecours,,Données CAF: ajout et dataprep des données RSA et bas revenus,<2018-03-30 ven.>,P,
Prévisecours,,Transports: refacto des données sur les gares avec ajout des comptages de trafic,<2018-03-30 ven.>,P,
Prévisecours,,Atelier a Corbeil Essonne avec le centre de réception des appels sapeurs pompiers du 91 sur intuitions SUAP,<2018-03-30 ven.>,R,
Prévisecours,,Création des personas et de pains list pour utilisateurs potentiels,<2018-03-30 ven.>,P,
Prévisecours,,Atelier cadrage de produit avec le SDIS91 et les mentors: utilisateur cible -> chef de groupement territorial,<2018-03-30 ven.>,M,
Prévisecours,,Envoi du CR du premier comité de pilotage au SDIS et mentors,<2018-03-30 ven.>,M,
Prévisecours,,definition des objectifs pour le prochain comité de pilotage en mai,<2018-03-30 ven.>,M,
Prévisecours,,Présentation EIG et Prévisecours devant délégation Ukrainienne s'intéressant à Etalab,<2018-03-30 ven.>,C,
Prévisecours,,Visite de Martin (EIG2017),<2018-03-30 ven.>,M,
Prévisecours,,Test du tuto de matchID,<2018-03-30 ven.>,A,
Prévisecours,,Guillaume tuto Python 3.6,<2018-03-30 ven.>,A,
Prévisecours,,Réanimation du 2e ordinateur de travail de Tiphaine (REP le SSD),<2018-03-30 ven.>,P,
Prévisecours,,Inventaire des données Meteo France,<2018-03-30 ven.>,P,
Prévisecours,,Prototype pour calculer volumes de classe à prédire en fonction nombre d'interventions max dans l'historique,<2018-03-30 ven.>,P,
Signaux Faibles,,Échange avec Nota-PME autour de la notation d'entreprise et analyse de données,<2018-03-30 ven.>,A,
Signaux Faibles,,Premiers entretiens avec nos users côté CMDE (hope !) > quelques dates fixées,<2018-03-30 ven.>,U,
Signaux Faibles,,"Groupe projet Signaux-Faible™, réunion très positive de tous les protagonistes",<2018-03-30 ven.>,U,
Signaux Faibles,,MapReduce à l’assaut du versioning > pas encore touché,<2018-03-30 ven.>,D,
Signaux Faibles,,Process d'intégration des données > routine en go_to_mongodb fonctionnelle,<2018-03-30 ven.>,D,
Signaux Faibles,,Feature Engineering > features de l'algorithme logistique réécrit en javascript,<2018-03-30 ven.>,D,
Signaux Faibles,,Dashboard pour présenter les données du projets aux utilisateurs : premières ébauches,<2018-03-30 ven.>,U,
Signaux Faibles,,Échange avec Nota-PME autour de la notation d'entreprise et analyse de données,<2018-03-30 ven.>,A,
Signaux Faibles,,Premiers entretiens avec nos users côté CMDE (hope !) > quelques dates fixées,<2018-03-30 ven.>,U,
Signaux Faibles,,"Groupe projet Signaux-Faible™, réunion très positive de tous les protagonistes",<2018-03-30 ven.>,U,
Signaux Faibles,,MapReduce à l’assaut du versioning > pas encore touché,<2018-03-30 ven.>,D,
Signaux Faibles,,Process d'intégration des données > routine en go_to_mongodb fonctionnelle,<2018-03-30 ven.>,D,
Signaux Faibles,,Feature Engineering > features de l'algorithme logistique réécrit en javascript,<2018-03-30 ven.>,D,
SocialConnect,,Features de la première version de openscraper,<2018-03-30 ven.>,P,
SocialConnect,,Test proxmox et passage en preprod pour openscraper,<2018-03-30 ven.>,P,
SocialConnect,,Pas eu le temps de me mettre à vue.js comme prévu...,<2018-03-30 ven.>,P,
SocialConnect,,"Finalisation des éléments graphiques et des éléments de comm: posters, flyers",<2018-03-30 ven.>,C,
SocialConnect,,Finalisation de la maquette de la landing page,<2018-03-30 ven.>,C,
SocialConnect,,Finalisation de notre nomenclature homogénéisant nos tags scrapés...,<2018-03-30 ven.>,P,
SocialConnect,,récupération des infos sur les noms de domaines achetés pour socialconnect,<2018-03-30 ven.>,C,
EIG Node,,Présentation EIG à délégation ukrainienne (merci Tiphaine et Guillaume),<2018-04-03 mar.>,C,
EIG Node,,"Réunion avec équipes SI, SG et mentors EIG sur leur projet de gouvernance des données",<2018-04-03 mar.>,M,
EIG Node,,Finalisation des slides de demande de financement pour EIG3,<2018-04-03 mar.>,M,
EIG Node,,"Atelier communication avec l’agence Bastille, feuille de route et hypothèses site v2",<2018-04-03 mar.>,C,
EIG Node,,Suivi Villani,<2018-04-03 mar.>,M,
Archifiltre,Stalactites v3,v3 de Stalactites sur archifiltre.com,<2018-04-06 ven.>,P,1
Archifiltre,,"v4 en cours : nouvelles features de navigation, meilleure UX, début de back",<2018-04-06 ven.>,P,0
Archifiltre,,Tests utilisateurs au fil de l'eau,<2018-04-06 ven.>,U,0
Archifiltre,,"On réfléchit à l'accueil de notre stagiaire, qui arrive le 16 avril",<2018-04-06 ven.>,M,0
Archifiltre,Mugs archifiltre,Réception de nos mugs ! :),<2018-04-06 ven.>,C,1
b@liseNAV,Dam-Shom,Rapprochements entre données Aladin et base Shom - Atlantique,<2018-04-06 ven.>,P,1
b@liseNAV,Front,Mise en place d’une librairie SVG de symboles nautiques,<2018-04-06 ven.>,P,1
b@liseNAV,Blog,Définition d’une trame pour l’écriture d’articles Blog EIG,<2018-04-06 ven.>,C,1
b@liseNAV,Shom,Rencontres avec utilisateurs de batchs de traitement données carto,<2018-04-06 ven.>,U,1
CoachÉlève,Gouvernance,Première version de la roadmap Gouvernance !,<2018-04-06 ven.>,P,
CoachÉlève,Montée en compétence ministère,1er contact avec l’équipe de communication du ministère pour organiser des  “Dej’AI” pour tous les agents intéressés,<2018-04-06 ven.>,TC,
CoachÉlève,QuickWin,Organisation d’une semaine de collaboration avec le CNED pour améliorer leur chatbot D’COL,<2018-04-06 ven.>,MS,
CoachÉlève,BDD Centrale,"Rencontre et prise de contact avec différents labos de recherches (LORIA, LIP6) pour bénéficier de leur retour d’expérience sur les différentes normes d’inter-opérabilité",<2018-04-06 ven.>,A,
CoachÉlève,CoachÉlèves,Prise en main du RasBerry Pi et découverte de l’implémentation Sugarizer,<2018-04-06 ven.>,I,
CoachÉlève,BDD Centrale,Retour des premiers industriels et partage des premiers échantillons de données,<2018-04-06 ven.>,A,
DataESR,Test,Rédaction de tests unitaires pour le MVP backend,<2018-04-06 ven.>,P,
DataESR,Archi BDD,Finalisation de la modélisation de la BDD,<2018-04-06 ven.>,P,
DataESR,performance,Installation d'une autre machine (2 pcs maintenant..),<2018-04-06 ven.>,I,
DataESR,augmentation de la BDD,dump d'un corpus de publications provenant de Semantic Scholar,<2018-04-06 ven.>,D,
DataESR,test de modèle,Premier test d'un model tf-idf sur des documents wikipedia,<2018-04-06 ven.>,P,
DataESR,DSI - mise en prod,Rdv avec la DSI pour faire le tour des solutions envisageables,<2018-04-06 ven.>,C,
EIG Node,,Arrivée de Soizic,<2018-04-06 ven.>,M,
EIG Node,,"Plan de rédaction de contenu site v2 et nouvelle apparence (Bastien, Sophie, Soizic)",<2018-04-06 ven.>,C,
EIG Node,,Rédaction de contenu blog,<2018-04-06 ven.>,C,
EIG Node,,"EIG v3 validée par le COPIL PIA (1,5 M€)",<2018-04-06 ven.>,M,
EIG Node,,"Rétroplanning EIG v3 (Mathilde, Sophie, Soizic)",<2018-04-06 ven.>,M,
EIG Node,,Crowdsourcing “[[https://lite.framacalc.org/EIG2____Donnees][vos rêves de données]]”,<2018-04-06 ven.>,D,
EIG Link,Animation,Relance Christophe et Emmanuel pour EIG Off,<2018-04-06 ven.>,M,
EIG Link,Animation,Suivi Sugarizer pour CoachÉlève,<2018-04-06 ven.>,M,
EIG Link,Animation,Journée autour de Storia avec Framasoft,<2018-04-06 ven.>,MP,1
EIG Link,Contenu,Rédaction gestion projet open source,<2018-04-06 ven.>,P,1
EIG Link,Site,Avancée co-rédaction avec Paul,<2018-04-06 ven.>,P,
EIG Link,Site,Discussion interne pour la suite,<2018-04-06 ven.>,MP,
EIG Link,Site,Début de timeline pour EIG,<2018-04-06 ven.>,P,1
EIG Link,Animation,Préparation de la session du 5 avril,<2018-04-06 ven.>,MP,
EIG Link,Animation,Session d’accompagnement du 5 avril,<2018-04-06 ven.>,P,1
EIG Link,Étalab,Rendez-vous avec Henri Verdier,<2018-04-06 ven.>,M,1
EIG Link,Étalab,Participation Étalab talk open source evangelist AWS,<2018-04-06 ven.>,MT,1
EIG Link,Maintenance,Mise à jour de la licence de pointk,<2018-04-06 ven.>,P,
Gobelins,,Avancée sur l’outil d’ETL et son API REST,<2018-04-06 ven.>,T,1
Gobelins,,"Cours ENSCI, plus prise de RDV Anthony Masure, plateforme collecta, ENSCI",<2018-04-06 ven.>,A,1
Gobelins,Classification,Classification des objets pour l’usager (en cours),<2018-04-06 ven.>,U,1
Gobelins,Architecture macro,première ébauche,<2018-04-06 ven.>,P,1
Gobelins,Roadmap,Validation par nos 2 mentors,<2018-04-06 ven.>,M,1
Gobelins,Personas,Validation avec nos 2 mentors,<2018-04-06 ven.>,U,1
Gobelins,,Validation roadmap + personas avec le directeur du MN annulée,<2018-04-06 ven.>,MU,-1
Hopkins,,visualisation des propriétés des noeuds et des arcs du graphe,<2018-04-06 ven.>,P,
Hopkins,,résolution de bugs sur l'app de graphe,<2018-04-06 ven.>,P,
Hopkins,,"biblio graphe, test en local de Janus, une base graphe",<2018-04-06 ven.>,A,
Hopkins,,biblio traduction automatique,<2018-04-06 ven.>,A,
Hopkins,,visualisation des propriétés des noeuds et des arcs du graphe,<2018-04-06 ven.>,P,
Hopkins,,résolution de bugs sur l'app de graphe,<2018-04-06 ven.>,P,
Hopkins,,"biblio graphe, test en local de Janus, une base graphe",<2018-04-06 ven.>,A,
Hopkins,,biblio traduction automatique,<2018-04-06 ven.>,A,
Lab Santé,Formation,GUEPARD: Finalisation contenu équivalents SAS avec R pour le data management bit.ly/guepard2 (TC),<2018-04-06 ven.>,TC,1
Lab Santé,Formation,GUEPARD: manipulation d'une session SAS via saspy et lecture de données SAS,<2018-04-06 ven.>,PCT,1
Lab Santé,Distancier,Recensement de besoin utilisateurs Bureau Établissements de Santé,<2018-04-06 ven.>,MC,1
Lab Santé,Enquête OC,score de confiance sur l’imputation WIP,<2018-04-06 ven.>,P,1
Lab Santé,Distancier,"Indicateur ""Nombre de mcdo par commune"" à partir d'OSM",<2018-04-06 ven.>,AP,1
Lab Santé,Distancier,Accès au données de trafic Bison Futé,<2018-04-06 ven.>,D,1
Lab Santé,Réunion,Projet textmining : réunion de lancement.,<2018-04-06 ven.>,D,1
Lab Santé,Traitement,"Projet textmining : pré-traitement des données (filtrage, stemming, lemmatisation) et création de nuages de mots",<2018-04-06 ven.>,P,1
Lab Santé,Production,Dictionnaire des codes : génération d’un dico (.json) à partir des tableaux de variables du document source (.docx),<2018-04-06 ven.>,P,1
Prédisauvetage,,Suite application web de visualisation (graphiques et cartographie),<2018-04-06 ven.>,P,
Prédisauvetage,,Rdv à Etalab mercredi avec Romain Thalès pour potentielle ouverture données CROSS,<2018-04-06 ven.>,T,
Prédisauvetage,,Accès direct aux bases de données Oracle à St Malo,<2018-04-06 ven.>,I,
Prévisecours,,Automatisation des pipelines pour les projets opendata,<2018-04-06 ven.>,P,
Prévisecours,,Création des classes de prédiction de volumes dynamiques en fonction des occurences de l'année passée pour chaque co...,<2018-04-06 ven.>,P,
Prévisecours,,Model farming avec les nouvelles classes et les nouvelles données ouvertes et feature engineering naïf,<2018-04-06 ven.>,P,
Prévisecours,,Avancée sur cookbook Panda,<2018-04-06 ven.>,A,
Prévisecours,,Inventaire des données Météo France,<2018-04-06 ven.>,P,
Prévisecours,,Préparation de demandes de données Police et Gendarmerie au SSMSI avec Daniel,<2018-04-06 ven.>,D,
Prévisecours,,Travail sur le tuto de MatchId et amélioration du tutorial,<2018-04-06 ven.>,A,
Prévisecours,,Visite au SSMSI pour récupérer des données à corréler avec nos modèles (à la semaine par commune),<2018-04-06 ven.>,D,
Signaux Faibles,,Entretien avec un chargé de mission pour définir ses besoins,<2018-04-06 ven.>,U,
Signaux Faibles,,Feature Engineering en grande partie débogué,<2018-04-06 ven.>,D,
Signaux Faibles,,"1ère récupération base Altarès par FTP, le réseau de la direccte filtre",<2018-04-06 ven.>,D,-1
Signaux Faibles,,Feature engineering: brainstorming features souhaitables,<2018-04-06 ven.>,D,
Signaux Faibles,,Sélection d'entreprises à visiter,<2018-04-06 ven.>,U,
Signaux Faibles,,Participation en spectateurs à la cellule de veille,<2018-04-06 ven.>,U,
Signaux Faibles,,Intégration d'un processus R dans golang (merci à rserve et roger),<2018-04-06 ven.>,D,
Signaux Faibles,,Calcul de régression logistique avec une datasource mongodb fonctionnel \o/,<2018-04-06 ven.>,D,1
Archifiltre,,Avancées sur le back,<2018-04-13 ven.>,P,
Archifiltre,Stalactites v4,Refonte de l'interface,<2018-04-13 ven.>,P,
Archifiltre,,Préparation de l'accueil d'Inès !,<2018-04-13 ven.>,M,
Archifiltre,,Tests utilisateurs,<2018-04-13 ven.>,U,
Archifiltre,,Première release officielle d'archifiltre !,<2018-04-13 ven.>,C,
Prévisecours,Opendata,Automatisation des projets de récupération des données ouvertes,<2018-04-13 ven.>,P,1
Prévisecours,Opendata,Nettoyage des projets de récupération des données ouvertes,<2018-04-13 ven.>,P,1
Prévisecours,Opendata,Documentation des projets de récupération des données ouvertes,<2018-04-13 ven.>,P,1
Prévisecours,Prédiction,Farming de modèles,<2018-04-13 ven.>,P,1
Prévisecours,AdminSys,Réglages de l'instance de travail,<2018-04-13 ven.>,P,1
SocialConnect,,Mise au point mentor/n+1 sur fonctionnalités du site publié le 16/04,<2018-04-13 ven.>,M,
SocialConnect,,"Landing page sous Flask avec core features : backoffice, BDD mongo, login, feedback (Julien)",<2018-04-13 ven.>,P,
SocialConnect,,Mise en prod de la landing (nginx et supervisor) (Julien),<2018-04-13 ven.>,P,
SocialConnect,,Envoi des premiers ‘kit comm’ (collectif),<2018-04-13 ven.>,C,
SocialConnect,,Comptes FB et twitter de Social Connect (collectif),<2018-04-13 ven.>,C,
SocialConnect,,Vidéo de présentation du site (Elise),<2018-04-13 ven.>,P,
SocialConnect,,Finalisation des éléments graphiques du site (Elise),<2018-04-13 ven.>,P,
SocialConnect,,Prototype animé des écrans du moteur de recherche (Elise),<2018-04-13 ven.>,P,
SocialConnect,,Finalisation des écrans du moteur de recherche (Elise),<2018-04-13 ven.>,P,
SocialConnect,,Câblage des requêtes site socialconnect - openscraper (Julien),<2018-04-13 ven.>,P,
SocialConnect,,formation Expresse Vue.js (Julien),<2018-04-13 ven.>,A,
SocialConnect,,"1ères discussions sur la pérennité du projet : RH, budget, modèle éco.",<2018-04-13 ven.>,M,
SocialConnect,,Premier ransomware !,<2018-04-13 ven.>,A,
b@liseNAV,,Définition des premiers posts pour le blog EIG,<2018-04-14 sam.>,C,1
b@liseNAV,,"Journée Idéation avec la Dam. “Ouvrez vos données, les idées suivront”",<2018-04-14 sam.>,T,1
b@liseNAV,,Ecriture du modèle S-201 via l’ORM Sequelize pour PostgreSQL/ PostGIS,<2018-04-14 sam.>,D,1
b@liseNAV,,Premières tentatives de mapping de l’[[https://antoineaugusti.github.io/avurnav-api/][API]] vers la norme S-124,<2018-04-14 sam.>,D,-1
b@liseNAV,,Comparaison Aladin - BDGS Manche + Atlantique,<2018-04-14 sam.>,D,1
b@liseNAV,,Revue d’avancement avec notre mentor,<2018-04-14 sam.>,M,1
CoachÉlève,Centralisation des données,Réunion industriel (Maskott) pour récupération de données,<2018-04-14 sam.>,P,1
CoachÉlève,Gouvernance des données,Journée de shadowing pour la création d’outils de gouvernance,<2018-04-14 sam.>,TC,1
CoachÉlève,QuickWin,Organisation d’une semaine de collaboration avec le CNED pour améliorer leur chatbot D’COL,<2018-04-14 sam.>,MS,1
CoachÉlève,Centralisation des données,Rencontre les membres du LORIA sur les protocoles d’interopérabilités,<2018-04-14 sam.>,A,1
DataESR,Front app - SearchPage,Visualisation de l'ensemble des établissements et filtrage via barre de recherche,<2018-04-14 sam.>,P,
DataESR,Front app - Etablissement,Intégration de la présence WEB et des codes issus des référentiels,<2018-04-14 sam.>,P,
DataESR,Modèle,Test d'une librairie de nlp pour essayer le deep learning sur la tâche de classification de documents,<2018-04-14 sam.>,P,
DataESR,Données ESR,Preprocessing sur les papiers de l'ISTEX,<2018-04-14 sam.>,D,
DataESR,API,Ajout de nouveaux models / endpoints pour l’API,<2018-04-14 sam.>,P,
DataESR,DSI,Monter le dossier de demande d’hébergement / ressources pour DSI,<2018-04-14 sam.>,C,
EIG Link,,RDV de prise de connaissance avec Perica,<2018-04-14 sam.>,M,1
EIG Link,,Avancement du futur site EIG,<2018-04-14 sam.>,P,1
EIG Link,animation,Préparation de la session d’accompagnement EIG,<2018-04-14 sam.>,PP,
EIG Link,animation,Session d’accompagnement EIG,<2018-04-14 sam.>,P,1
EIG Link,,Travail sur le blog EIG,<2018-04-14 sam.>,P,
EIG Link,journal,Apprentissage clojurescript/re-frame,<2018-04-14 sam.>,A,
EIG Link,suivi,Accompagnement sur les CGU du défi SocialConnect,<2018-04-14 sam.>,M,
EIG Link,suivi,Après-midi d’échanges avec le défi Gobelins,<2018-04-14 sam.>,M,
EIG Link,eigforever,Premier retweet du bot @eigforever !,<2018-04-14 sam.>,P,1
Gobelins,,"Classification des objets en cours, vision utilisateur",<2018-04-14 sam.>,DU,1
Gobelins,,Wireframes MVP en cours,<2018-04-14 sam.>,P,1
Gobelins,,Formation captation de l’attention + design éthique,<2018-04-14 sam.>,A,1
Gobelins,,Contact « DA » du MN (droits typos),<2018-04-14 sam.>,M,1
Gobelins,,"Rencontre Google art et culture, pour partenariat",<2018-04-14 sam.>,M,1
Gobelins,,Quantification de l’effort logistique pour la campagne photographique,<2018-04-14 sam.>,M,
Gobelins,,Poursuite du remodelage des données SCOM pour l’API Rest,<2018-04-14 sam.>,P,
Gobelins,,RDV avec le directeur du MN pour prise de décision annulé,<2018-04-14 sam.>,M,-1
Gobelins,,Contact juridique Étalab pour le droit des images,<2018-04-14 sam.>,D,
Gobelins,,On a un téléphone dans nos bureaux !,<2018-04-14 sam.>,I,
Hopkins,Classification,Code Tensorflow pour classifier de texte,<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Sortie du code sur le [[https://github.com/entrepreneur-interet-general/graph-explorer][github EIG]],<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Passage sur Bulma.js comme framework CSS,<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Feature#59 Permettre de sélectionner un dataset parmi une liste de datasets disponibles,<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Maquette Sketch de l'app,<2018-04-14 sam.>,A,
Hopkins,Matching/Graph explorer,"Continuer test de temps de matching sur différentes taille de dataset, +/- fuzzy",<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Paralléliser le matching avec pandas => temps/2,<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Nouveaux collecteurs,<2018-04-14 sam.>,P,
Hopkins,Matching/Graph explorer,Se plonger dans javascript/vue.Js,<2018-04-14 sam.>,A,
Lab Santé,Dictionnaire,Dictionnaire des codes : génération auto d’un rapport à partir des specs et du questionnaire des documents source,<2018-04-14 sam.>,P,1
Lab Santé,Tuto,Préparation du tuto webscraping pour la DREES en cours,<2018-04-14 sam.>,M,1
Lab Santé,Séminaire,Agilité,<2018-04-14 sam.>,M,1
Lab Santé,Réunion,Projet Relevance : réunion INSEE-DREES,<2018-04-14 sam.>,M,1
Lab Santé,Distancier,Installation d’un serveur OSRM en cours,<2018-04-14 sam.>,DIT,1
Lab Santé,distancier,découverte de l'outil metric (distancier insee) et comparaison OSRM,<2018-04-14 sam.>,AP,1
Lab Santé,enquête OC,[[http://dataviz.drees.solidarites-sante.gouv.fr/simplex_menu_creation][mock-up app]] de sélection de lieux (pour comparer des créations d'établissements),<2018-04-14 sam.>,P...,
Lab Santé,shiny,création d'un reporting (html) via Rmarkdown depuis une app shiny,<2018-04-14 sam.>,P,1
Lab Santé,,Enquête OC,<2018-04-14 sam.>,P,
